,city_id,city_names,relative_uf,capital
235,0e2c1d79-eb28-4e1a-8b7d-c5fe13d06cf5,Angelica,MS,0
236,1f415dd9-9f3f-4b00-88b7-c646e2a7d6b4,Angelim,PE,0
237,7d1f8188-0524-4c28-aaed-094f562b5bae,Angelina,SC,0
238,3400d8fa-d779-4daf-965f-219640708405,Angical,BA,0
239,62868b94-fc5c-4804-8585-cfb736b938cf,Angical do Piaui,PI,0
240,f4450fe8-69af-4236-9f2a-7cd6baf565c9,Angico,TO,0
241,90402dd1-8e49-4803-b73a-3e004c3f59ad,Angicos,RN,0
242,f8a74b1c-a8e1-419d-a5a0-e037e62c2f5a,Angra dos Reis,RJ,0
243,87e33d40-3019-48ee-b4c3-e9499d09af52,Anguera,BA,0
244,d2e883ea-931a-46bd-a82c-fc3d3b5bb185,Angulo,PR,0
245,01d144f6-ade4-4584-b82f-1789a55b0687,Anhanguera,GO,0
246,b24e7541-4fbd-4eff-b008-906aa9409fa3,Anhembi,SP,0
247,bb3c3bd9-467b-491c-9a5b-e58f315436f1,Anhumas,SP,0
248,fd2935b3-6ab3-4fb2-9626-d2fe5e5702e4,Anicuns,GO,0
249,65daf292-de17-4083-81a6-5607706b6146,Anisio de Abreu,PI,0
250,964bd740-4df0-40f2-9d87-6c65daf7ebf9,Anita Garibaldi,SC,0
251,7b8f9d07-9fbf-47a0-a6ee-b196af581ed1,Anitapolis,SC,0
252,1394ef6f-6339-48ac-b97b-a792045753fd,Anori,AM,0
253,03d4eac6-dc0c-45a5-a3dd-bcd096114b6a,Anta Gorda,RS,0
254,321acf12-22ad-4a06-873b-70be03fab332,Antas,BA,0
255,a8f9434d-ce54-4b83-8612-4db196c4e790,Antonina,PR,0
256,b92fc7f3-17f7-4048-b94c-f1aac8b90ac2,Antonina do Norte,CE,0
257,7ebad891-aa91-4648-aeef-834b1af8ebaf,Antonio Almeida,PI,0
258,0b988d3e-d9e0-4970-b2fb-833f8c8471f0,Antonio Cardoso,BA,0
259,0fe637ec-c138-424f-8368-7e1d8e3adf0a,Antonio Carlos,SC,0
260,2f95961a-3bda-4c72-9e6b-4f4c8ea82f8a,Antonio Carlos,MG,0
261,ab2f7036-58b8-4e7f-b7c7-a5af7a009ebf,Antonio Dias,MG,0
262,3f39c875-3cba-4ba1-9b1d-fdde1428001e,Antonio Goncalves,BA,0
263,3ff7762b-7140-4609-8588-69ad86edc0f0,Antonio Joao,MS,0
264,786392b7-5dd7-479e-bef0-9692297093c6,Antonio Martins,RN,0
265,bb00f76a-8a50-457d-8793-66ba179be40e,Antonio Olinto,PR,0
266,cd3e6af7-38af-42ec-9f8a-667a8860cd2d,Antonio Prado,RS,0
267,53c7cbe5-b93d-4561-8cce-9d2729eb6a56,Antonio Prado de Minas,MG,0
268,58b1efd2-9783-4505-8e7d-4d0b4229f94b,Aparecida,PB,0
269,248c2349-1578-4cc0-adc6-a072ed269832,Aparecida,SP,0
270,4be57a5c-6e18-4770-9a60-2786ec03dc25,Aparecida d'Oeste,SP,0
271,91d85cb9-911b-46d4-8a26-4cca97b64806,Aparecida de Goiania,GO,0
272,e27dd982-c93c-40fa-9c80-81aaaa8d4d8a,Aparecida do Rio Doce,GO,0
273,577d1596-d873-4241-a93f-7e5f5cd4bf7e,Aparecida do Rio Negro,TO,0
274,9fbbed32-7809-4113-b5e5-2d77d73accae,Aparecida do Taboado,MS,0
275,ed837c30-d9b4-4da6-a8dc-9e1755077a92,Aperibe,RJ,0
276,305dce19-787b-4853-9924-46d23d1d4921,Apiaca,ES,0
277,fc771673-a60b-4045-b752-d7c3cfac82c5,Apiacas,MT,0
278,d98826ae-c4de-468a-8754-62b39f98da10,Apiai,SP,0
279,2d826b0c-19b7-4219-9d43-de8608a7b238,Apicum-Acu,MA,0
280,ce6b7b5a-c151-434e-9d44-a1466447b30e,Apiuna,SC,0
281,2682552f-8de2-4e98-a5c9-970a243ae119,Apodi,RN,0
282,b645ca90-7a3c-4e4c-8363-68ff2dbfcd80,Apora,BA,0
283,10cb75f0-54e1-442f-8a3f-53703d6f5eef,Apore,GO,0
284,bf3f5731-7074-4acb-bb2b-13c33a24dcdc,Apuarema,BA,0
285,b1747f20-6df7-4898-bfb3-2184289af0fd,Apucarana,PR,0
286,9063937f-3b26-4689-9150-c6ea21119e55,Apui,AM,0
287,fec53576-2242-4ab3-b366-84ac6d24e528,Apuiares,CE,0
288,002ed5c8-0f3a-4d94-b928-e25f9627b180,Aquidaba,SE,0
289,e4e29968-2b47-438c-9b2e-22a7d8295af1,Aquidauana,MS,0
290,91cc1d34-2a1d-4ae8-8934-6c6978237bb1,Aquiraz,CE,0
291,ac996fb0-580b-49cb-b8fe-99c3f763521a,Arabuta,SC,0
292,425ee04e-fb4d-4ef7-b80d-72aaddc6eff7,Aracagi,PB,0
293,bb8707ab-498e-481b-9759-d8a28d6e7e16,Aracai,MG,0
294,8727c504-5546-4a3d-9445-1c2dec6e32fa,Aracaju,SE,1
295,6a50c65c-3da1-4f65-89cc-006b62afa9c3,Aracariguama,SP,0
296,da702fcd-1ac3-4046-a566-0c66345cf0ac,Aracas,BA,0
297,79eed00b-d06f-46a7-866a-9ba08e2b5870,Aracati,CE,0
298,88b7560a-e1aa-40e5-b192-4e081467936b,Aracatu,BA,0
299,6a76b09b-0ab5-4f47-a947-544861fe43f6,Aracatuba,SP,0
300,79c02413-8874-4494-84f3-9d23a85c5c71,Araci,BA,0
301,7f32f636-0cc2-41c0-b8ad-bff8eefeed16,Aracitaba,MG,0
302,7b666107-fcea-492b-9060-a4859cb9de5f,Aracoiaba,PE,0
303,69adfd62-e936-48d4-9ee4-ec80fffe1eb2,Aracoiaba,CE,0
304,5c33da0b-b140-4e51-b0f8-3ab2eac25bc5,Aracoiaba da Serra,SP,0
305,17cd6222-6a3e-4fc0-b9e1-220eff6fa129,Aracruz,ES,0
306,a6a5d388-24f4-4509-aa5a-3871cf1fdb6d,Aracu,GO,0
307,7861810a-dd76-4a71-8944-9080720ed31b,Aracuai,MG,0
308,e92e550d-b0f5-4634-804e-89f7fd2b30ee,Aragarcas,GO,0
309,07ee0452-cbf0-43f5-9051-94b22e11fe97,Aragoiania,GO,0
310,6c302c65-2fba-459c-a643-0aa4fcd5cc0a,Aragominas,TO,0
311,acfad288-cf1c-45ea-85c0-0cbd3c3c032f,Araguacema,TO,0
312,379c85ca-5f76-43ba-93e9-07dba2e6f54c,Araguacu,TO,0
313,78122fb7-a97a-4a67-bfad-ca558df3d6f8,Araguaiana,MT,0
314,8cdd6f4d-cfe9-4505-b607-cd33922ee026,Araguaina,TO,0
315,f174184f-b365-4c97-8972-9930d561d704,Araguainha,MT,0
316,97ef63ee-7ec6-4120-b872-9ed872fe8614,Araguana,TO,0
317,664cd98f-69b0-4da9-b997-9488e4907b8c,Araguana,MA,0
318,59c533ea-8d68-420d-b8fa-351a9b61e580,Araguapaz,GO,0
319,8332438b-2f92-4eec-9202-b0240d5b3953,Araguari,MG,0
320,1117e638-b228-428d-a0b8-bcabc0347dcf,Araguatins,TO,0
321,89f4aaf6-8c0e-4e75-a923-4920c117dba2,Araioses,MA,0
322,22559c44-4438-4da0-9940-fa06010ce981,Aral Moreira,MS,0
323,21035a07-97fc-4df8-86c0-471f4b50336e,Aramari,BA,0
324,d488d606-8bd7-41af-ae44-9e19017dc10e,Arambare,RS,0
325,65426cf8-8c25-4564-9d28-a2bb0bb48113,Arame,MA,0
326,48ce5544-0e67-47c3-b008-7880c61d0263,Aramina,SP,0
327,39847406-9e87-408a-a1f8-0fbcc5da3da3,Arandu,SP,0
328,e2576f1d-b350-4630-8a34-846344a4ce93,Arantina,MG,0
329,ce36606c-63ed-42e5-bf68-dbaa4a1ea68a,Arapei,SP,0
330,06def093-0281-42c7-b433-ae7e0c97709a,Arapiraca,AL,0
331,9c860ea3-758a-41ee-b840-8b8c79a8f10e,Arapoema,TO,0
332,df1925a6-b506-4782-824a-1362e3b93880,Araponga,MG,0
333,cfa9ccdd-1937-4303-a5f3-a07d255c49ba,Arapongas,PR,0
334,4ea7f369-c9fc-4a31-992f-318cc2fae6ab,Arapora,MG,0
